datetime,pcu_vol
27-02-2020 10:05,586.55
27-02-2020 10:10,571.51
27-02-2020 10:15,586.09
27-02-2020 10:20,637.34
27-02-2020 10:25,636.99
27-02-2020 10:30,500.86
27-02-2020 10:35,439.88
27-02-2020 10:40,487.93
27-02-2020 10:45,492.21
27-02-2020 10:50,396.2
27-02-2020 10:55,469.6
27-02-2020 11:00,514.07
27-02-2020 16:35,565.41
27-02-2020 16:40,541.29
27-02-2020 16:45,554.41
27-02-2020 16:50,547.03
27-02-2020 16:55,594.38
27-02-2020 17:00,541.55
27-02-2020 17:05,634.53
27-02-2020 17:10,446.18
27-02-2020 17:15,589.09
27-02-2020 17:20,775.18
27-02-2020 17:25,622.95
27-02-2020 17:30,616.41
27-02-2020 17:35,524.01
27-02-2020 17:40,653.07
27-02-2020 17:45,660.2
27-02-2020 17:50,544.99
27-02-2020 17:55,637.97
27-02-2020 18:00,571.56
27-02-2020 18:05,524.27
27-02-2020 18:10,555.11
27-02-2020 18:15,646.89
27-02-2020 18:20,575.57
27-02-2020 18:25,603.26
27-02-2020 18:30,549.09
27-02-2020 18:35,438.05
27-02-2020 18:40,537.6
27-02-2020 18:45,473.65
27-02-2020 18:50,499.64
27-02-2020 18:55,565.7
27-02-2020 19:00,426.39
27-02-2020 08:35,457.79
27-02-2020 08:40,465.51
27-02-2020 08:45,589.07
27-02-2020 08:50,505.6
27-02-2020 08:55,573.86
27-02-2020 09:00,438.49
27-02-2020 09:05,538.37
27-02-2020 09:10,458.36
27-02-2020 09:15,514.77
27-02-2020 09:20,551.06
27-02-2020 09:25,623.66
27-02-2020 09:30,495.27
27-02-2020 09:35,475.36
27-02-2020 09:40,529.11
27-02-2020 09:45,406.71
27-02-2020 09:50,651.99
27-02-2020 09:55,572.53
27-02-2020 10:00,450.05
27-02-2020 10:05,470.36
27-02-2020 10:10,451.93
27-02-2020 10:15,611
27-02-2020 10:20,550.86
27-02-2020 10:25,582.53
27-02-2020 10:30,577.08
27-02-2020 10:35,543.73
27-02-2020 10:40,582
27-02-2020 10:45,500.05
27-02-2020 10:50,532.04
27-02-2020 10:55,532.48
27-02-2020 11:00,648.54
27-02-2020 16:35,646.61
27-02-2020 16:40,650.65
27-02-2020 16:45,516.67
27-02-2020 16:50,613.02
27-02-2020 16:55,554.24
27-02-2020 17:00,621.81
27-02-2020 17:05,673.62
27-02-2020 17:10,645.98
27-02-2020 17:15,646
27-02-2020 17:20,544.36
27-02-2020 17:25,528.85
27-02-2020 17:30,496.83
27-02-2020 17:35,489.33
27-02-2020 17:40,594.01
27-02-2020 17:45,475.71
27-02-2020 17:50,605.41
27-02-2020 17:55,578.53
27-02-2020 18:00,610.08
27-02-2020 18:05,639.24
27-02-2020 18:10,496.23
27-02-2020 18:15,621.21
27-02-2020 18:20,607.47
27-02-2020 18:25,642.58
27-02-2020 18:30,598.6
27-02-2020 18:35,570.93
27-02-2020 18:40,567.56
27-02-2020 18:45,498.23
27-02-2020 18:50,455.13
27-02-2020 18:55,536.66
27-02-2020 19:00,470.06
28-02-2020 08:35,612.72
28-02-2020 08:40,519.69
28-02-2020 08:45,558.52
28-02-2020 08:50,495.52
28-02-2020 08:55,479.52
28-02-2020 09:00,482.25
28-02-2020 09:05,548.7
28-02-2020 09:10,545.15
28-02-2020 09:15,549.76
28-02-2020 09:20,401.18
28-02-2020 09:25,636.89
28-02-2020 09:30,657.41
28-02-2020 09:35,604.2
28-02-2020 09:40,632.94
28-02-2020 09:45,548.32
28-02-2020 09:50,627.18
28-02-2020 09:55,608.4
28-02-2020 10:00,561.6
28-02-2020 10:05,606.56
28-02-2020 10:10,790.44
28-02-2020 10:15,552.17
28-02-2020 10:20,520.83
28-02-2020 10:25,556.33
28-02-2020 10:30,551.99
28-02-2020 10:35,525.91
28-02-2020 10:40,487.58
28-02-2020 10:45,558.04
28-02-2020 10:50,553.05
28-02-2020 10:55,480.12
28-02-2020 11:00,568.67
28-02-2020 16:35,549.56
28-02-2020 16:40,455.42
28-02-2020 16:45,539.12
28-02-2020 16:50,499.22
28-02-2020 16:55,500.96
28-02-2020 17:00,394.86
28-02-2020 17:05,547.07
28-02-2020 17:10,493.42
28-02-2020 17:15,508.14
28-02-2020 17:20,555.48
28-02-2020 17:25,553.1
28-02-2020 17:30,537.87
28-02-2020 17:35,642.65
28-02-2020 17:40,507.07
28-02-2020 17:45,483.7
28-02-2020 17:50,502.22
28-02-2020 17:55,532.13
28-02-2020 18:00,454.09
28-02-2020 18:05,520.04
28-02-2020 18:10,600.59
28-02-2020 18:15,538.64
28-02-2020 18:20,499.55
28-02-2020 18:25,466.69
28-02-2020 18:30,446.54
28-02-2020 18:35,464.17
28-02-2020 18:40,466.89
28-02-2020 18:45,477.99
28-02-2020 18:50,478.65
28-02-2020 18:55,547.73
28-02-2020 19:00,384.22
28-02-2020 08:35,494.21
28-02-2020 08:40,305.52
28-02-2020 08:45,422.24
28-02-2020 08:50,465.35
28-02-2020 08:55,519.95
28-02-2020 09:00,571.1
28-02-2020 09:05,387.09
28-02-2020 09:10,490.7
28-02-2020 09:15,510.4
28-02-2020 09:20,421.22
28-02-2020 09:25,477.49
28-02-2020 09:30,470.01
28-02-2020 09:35,406.86
28-02-2020 09:40,597.9
28-02-2020 09:45,505.52
28-02-2020 09:50,539.17
28-02-2020 09:55,557.38
28-02-2020 10:00,627.59
28-02-2020 10:05,489.72
28-02-2020 10:10,486.88
28-02-2020 10:15,451.41
28-02-2020 10:20,563.17
28-02-2020 10:25,545.33
28-02-2020 10:30,496.23
28-02-2020 10:35,497.01
28-02-2020 10:40,603.45
28-02-2020 10:45,576.06
28-02-2020 10:50,598.74
28-02-2020 10:55,581.23
28-02-2020 11:00,561.42
28-02-2020 16:35,238.62
28-02-2020 16:40,253.98
28-02-2020 16:45,333.08
28-02-2020 16:50,273
28-02-2020 16:55,351.02
28-02-2020 17:00,290.69
28-02-2020 17:05,528.09
28-02-2020 17:10,513.9
28-02-2020 17:15,499.15
28-02-2020 17:20,564.17
28-02-2020 17:25,635.66
28-02-2020 17:30,671.94
28-02-2020 17:35,517.33
28-02-2020 17:40,613.75
