datetime,Bus_speed
26-02-2020 09:10,16.718
26-02-2020 09:15,13.671
26-02-2020 09:20,15
26-02-2020 09:25,14.516
26-02-2020 09:30,14.795
26-02-2020 09:35,15
26-02-2020 09:40,13.203
26-02-2020 09:45,13.636
26-02-2020 09:50,12.245
26-02-2020 09:55,13.776
26-02-2020 10:00,15.084
26-02-2020 10:05,15.517
26-02-2020 10:10,13.99
26-02-2020 10:15,13.776
26-02-2020 10:20,13.012
26-02-2020 10:25,14.595
26-02-2020 10:30,15.836
26-02-2020 10:35,16.119
26-02-2020 10:40,13.043
26-02-2020 10:45,12.796
26-02-2020 10:50,14.917
26-02-2020 10:55,14.439
26-02-2020 11:00,11.973
26-02-2020 16:35,13.139
26-02-2020 16:40,15.929
26-02-2020 16:45,13.3
26-02-2020 16:50,14.795
26-02-2020 16:55,14.674
26-02-2020 17:00,13.636
26-02-2020 17:05,14.917
26-02-2020 17:10,13.107
26-02-2020 17:15,12.888
26-02-2020 17:20,13.075
26-02-2020 17:25,11.868
26-02-2020 17:30,13.671
26-02-2020 17:35,13.4
26-02-2020 17:40,14.026
26-02-2020 17:45,12.385
26-02-2020 17:50,14.477
26-02-2020 17:55,13.203
26-02-2020 18:00,12.471
26-02-2020 18:05,12.95
26-02-2020 18:10,11.514
26-02-2020 18:15,9.441
26-02-2020 18:20,13.568
26-02-2020 18:25,11.868
26-02-2020 18:30,13.171
26-02-2020 18:35,14.795
26-02-2020 18:40,13.012
26-02-2020 18:45,13.107
26-02-2020 18:50,14.211
26-02-2020 18:55,12.162
26-02-2020 19:00,14.4
27-02-2020 08:35,20.393
27-02-2020 08:40,22.277
27-02-2020 08:45,19.149
27-02-2020 08:50,20.532
27-02-2020 08:55,20.149
27-02-2020 09:00,18.493
27-02-2020 09:05,17.881
27-02-2020 09:10,16.667
27-02-2020 09:15,17.132
27-02-2020 09:20,20.225
27-02-2020 09:25,17.308
27-02-2020 09:30,14.568
27-02-2020 09:35,21.094
27-02-2020 09:40,15.067
27-02-2020 09:45,16.187
27-02-2020 09:50,17.089
27-02-2020 09:55,20.25
27-02-2020 10:00,19.636
27-02-2020 10:05,19.636
27-02-2020 10:10,22.5
27-02-2020 10:15,15.385
27-02-2020 10:20,13.918
27-02-2020 10:25,15.473
27-02-2020 10:30,16.364
27-02-2020 10:35,21.709
27-02-2020 10:40,20
27-02-2020 10:45,18.815
27-02-2020 10:50,16.514
27-02-2020 10:55,20.455
27-02-2020 11:00,21.26
27-02-2020 16:35,18.367
27-02-2020 16:40,18.75
27-02-2020 16:45,17.705
27-02-2020 16:50,17.035
27-02-2020 16:55,16.083
27-02-2020 17:00,17.749
27-02-2020 17:05,15.429
27-02-2020 17:10,18.243
27-02-2020 17:15,19.014
27-02-2020 17:20,16.216
27-02-2020 17:25,14.666
27-02-2020 17:30,21.204
27-02-2020 17:35,17.089
