datetime,Car_volume,2W_volume,3W_volume,Bus_volume,LCV_volume,Truck_volume,Cyc_volume,Car_speed,2W_speed,3W_speed,Bus_speed,LCV_speed,Truck_speed,Cyc_speed
25-02-2020 09:25,271,221,97,28,2,3,7,27,36.885,25.763,18.145,26.214,20.149,14.835
25-02-2020 09:35,342,255,127,22,3,3,5,18.392,25.093,25.187,15.808,14.014,21.429,11.605
25-02-2020 09:40,343,267,141,19,3,2,3,18.908,27.218,23.684,16.791,25,16.564,11.638
25-02-2020 09:45,252,263,119,22,4,2,6,30.269,34.264,30.682,20.769,26.733,18.75,12.796
25-02-2020 09:50,240,241,123,14,5,2,8,30.963,37.088,31.395,19.853,24.658,27,13.846
25-02-2020 09:55,285,235,119,23,2,2,3,30,36.29,28.481,18.908,11.538,18.493,9.122
25-02-2020 10:05,265,209,124,18,1,5,6,28.243,32.927,32.452,18.097,19.014,21.094,13.107
25-02-2020 10:10,261,218,117,30,5,1,3,29.605,32.609,31.106,19.341,21.204,22.881,12.981
25-02-2020 10:15,268,231,110,19,2,5,5,26.265,29.867,24.793,13.918,17.419,20.571,9.552
25-02-2020 10:20,292,271,112,13,5,4,6,27,36.486,28.008,20.611,22.376,18.802,11.043
25-02-2020 10:25,280,207,138,16,5,1,5,28.361,33.75,27.551,18.367,26.786,20.769,11.473
25-02-2020 10:35,266,217,93,23,7,3,4,27.664,30.682,27.551,17.624,18.75,18.493,9.441
25-02-2020 10:40,282,214,103,21,6,1,1,22.881,29.605,31.69,20.579,25.568,18.75,16.071
25-02-2020 10:45,294,209,116,24,5,5,2,23.438,34.091,29.189,14.026,20,24.324,12.5
25-02-2020 10:50,248,233,118,24,3,3,2,24.725,36.685,29.095,16.875,23.894,20.984,10.672
25-02-2020 10:55,261,217,96,30,2,3,2,27.328,31.106,32.609,16.544,24.545,20.769,12.857
25-02-2020 16:35,296,130,89,23,18,4,0,23.038,29.736,24.771,18,19.565,18.855,10.075
25-02-2020 16:40,326,150,81,21,17,8,0,21.497,25.21,22.154,9.897,20.93,13.918,10.075
25-02-2020 16:45,316,131,89,20,24,5,3,17.952,18.908,18.646,8.477,13.075,10.568,10.075
25-02-2020 16:50,332,162,78,15,28,6,1,25.592,25.714,25.116,14.026,19.708,19.014,10.075
25-02-2020 16:55,321,153,80,19,16,10,3,21.635,27.439,28.243,17.219,20.089,18.75,7.068
25-02-2020 17:05,291,128,75,19,15,5,1,27.108,32.297,25.665,17.905,21.845,17.176,9.184
25-02-2020 17:10,290,130,78,25,7,5,1,23.116,30.963,24.725,16.033,17.841,17.851,12.981
25-02-2020 17:15,309,169,77,18,15,4,4,25.962,28.97,24.545,12.477,26.265,10.345,13.619
25-02-2020 17:20,318,168,75,14,10,3,1,28.243,32.143,25.281,18.646,19.452,19.104,10.405
25-02-2020 17:25,323,182,103,20,10,5,3,15.698,23.684,19.341,10.905,20.833,13.602,11.313
25-02-2020 17:35,280,156,82,19,8,5,5,27.328,33.088,19.537,16.626,22.5,20.706,14.439
25-02-2020 17:40,304,139,82,9,6,4,1,29.736,29.221,31.25,19.565,22.5,20.074,12.5
25-02-2020 17:45,331,151,56,15,6,1,3,19.97,25.665,20.089,14.835,23.581,15.976,10.887
25-02-2020 17:50,326,192,88,13,12,3,5,25,29.476,25.665,16.77,17.308,18,11.066
25-02-2020 17:55,334,143,76,10,2,3,4,27.108,36.486,31.542,17.219,23.684,13.545,9.184
25-02-2020 18:05,295,154,72,19,5,3,2,23.038,32.452,28.481,13.184,19.622,18.326,12.217
25-02-2020 18:10,399,138,69,10,5,1,4,21.531,26.892,21.361,10.817,16.413,11.842,9.951
25-02-2020 18:15,325,174,83,24,4,3,3,21.951,24.434,21.687,15.652,17.609,12.273,9.89
25-02-2020 18:20,320,175,82,21,4,1,7,22.727,31.69,24.545,15.376,16.071,14.516,12.31
25-02-2020 18:25,334,181,84,16,15,3,2,21.497,29.476,22.5,13.314,22.351,13.366,12.617
25-02-2020 18:35,293,169,84,18,4,1,4,25.813,30.963,24.021,15.499,18.75,14.516,7.552
25-02-2020 18:40,295,156,59,25,3,5,1,17.263,23.276,20.93,12.664,23.894,11.773,6.995
25-02-2020 18:45,311,167,74,22,6,6,1,18.544,22.538,17.308,10.345,21.316,17.59,9.643
25-02-2020 18:50,295,171,66,18,6,3,3,19.341,24.545,23.176,14.211,17.308,15.254,10.858
25-02-2020 18:55,302,188,88,12,5,2,5,20.769,28.008,22.727,15.845,20,16.667,9.609
25-02-2020 08:35,195,74,69,19,6,1,4,29.189,35.762,26.733,14.876,22.785,22.979,14.958
25-02-2020 08:40,151,80,66,18,6,4,7,33.962,34.177,31.953,14.835,30,24.434,14.173
25-02-2020 08:45,154,88,58,16,5,2,2,36.735,35.762,27.411,14.795,24.545,23.276,11.714
25-02-2020 08:50,179,80,6,28,8,3,1,25,30.337,26.601,15.929,18.947,27,17.197
25-02-2020 08:55,197,90,74,15,5,3,2,33.75,34.177,30.857,14.714,22.881,26.214,13.671
25-02-2020 09:05,216,99,81,21,6,2,3,22.689,34.839,22.5,13.107,17.363,24.324,11.921
25-02-2020 09:10,217,121,96,16,3,2,2,24.107,36.242,25.116,14.211,21.687,19.78,14.136
25-02-2020 09:15,178,114,92,19,3,4,4,26.341,30.168,22.5,12.796,27.692,24.324,10.445
25-02-2020 09:20,212,117,72,22,3,4,5,25.234,31.765,22.785,15.126,19.636,20.225,12.162
25-02-2020 09:25,202,139,84,17,5,3,7,29.032,31.579,20,16.413,25.116,20.149,13.043
25-02-2020 09:35,183,148,86,26,4,2,4,28.125,35.526,21.429,15.743,20.769,20.074,11.043
25-02-2020 09:40,190,146,82,13,5,6,2,27.692,31.765,31.579,14.477,18.367,20.849,10.247
25-02-2020 09:45,210,160,93,15,5,3,3,25.352,28.571,26.601,15.297,27,23.789,13.671
25-02-2020 09:50,241,171,105,28,3,5,1,26.341,31.579,17.532,13.333,22.222,24,14.211
25-02-2020 09:55,226,198,117,20,7,3,3,29.508,29.032,21.6,14.876,22.041,22.041,19.636
25-02-2020 10:05,239,171,100,20,6,2,6,26.866,28.723,24.324,13.139,18.685,21.176,13.953
25-02-2020 10:10,243,157,99,22,4,2,5,30.508,36.735,22.131,13.602,22.222,24.107,14.136
25-02-2020 10:15,228,187,94,10,4,4,1,25.234,28.421,26.601,10.865,26.341,20.301,7.287
25-02-2020 10:20,221,196,100,19,4,2,5,25.592,29.67,24.545,14.136,21.514,24.215,12.676
25-02-2020 10:25,212,174,97,17,6,3,2,29.032,31.953,25.116,13.918,21.687,22.5,11.868
25-02-2020 10:35,221,167,109,15,5,4,0,26.087,25.837,24,14.876,24,18.621,14.286
25-02-2020 10:40,191,178,95,14,2,2,1,31.579,20.93,27.979,15.517,32.335,16.875,13.171
25-02-2020 10:45,233,162,94,21,2,3,1,25.837,29.508,23.276,13.333,31.953,23.276,20.93
25-02-2020 10:50,175,182,86,21,3,2,3,29.67,28.272,25.592,12.706,18.493,22.5,12.273
25-02-2020 10:55,202,162,87,17,3,3,2,18.947,30,22.689,12.981,25.962,17.252,21.176
25-02-2020 16:35,220,166,100,22,9,12,3,29.189,29.032,30.337,15.607,27.411,17.532,23.581
25-02-2020 16:40,222,175,93,20,10,2,3,27.411,32.927,30.682,11.868,27.692,23.377,12.329
25-02-2020 16:45,189,128,63,21,26,8,1,28.125,26.341,26.214,13.171,24.658,18.43,32.335
25-02-2020 16:50,228,143,95,24,12,12,3,24.215,24.324,26.341,13.333,25.472,19.853,13.918
25-02-2020 16:55,234,150,85,18,4,2,3,26.341,31.579,28.877,13.776,25.962,20.149,18.06
25-02-2020 17:05,197,133,97,12,5,4,2,27.411,31.579,26.214,13.671,28.421,21.862,12.329
25-02-2020 17:10,240,164,91,15,12,4,8,30.508,37.241,24.324,11.688,24.434,16.168,12.919
25-02-2020 17:15,267,222,106,12,9,1,5,24.215,24.324,21.514,13.636,18.43,16.168,12.676
25-02-2020 17:20,241,231,54,18,8,2,3,32.143,33.129,26.087,14.099,25.592,20.377,14.477
25-02-2020 17:25,271,199,86,21,12,1,6,26.471,30,25.234,11.416,27.273,26.341,13.882
25-02-2020 17:35,302,201,80,17,8,3,4,23.894,27.979,25.116,13.4,19.565,20.225,13.882
25-02-2020 17:40,322,202,90,20,11,1,5,21.862,28.723,22.5,13.4,15.562,23.894,14.4
25-02-2020 17:45,337,186,74,15,9,3,6,23.789,28.571,26.341,13.776,25.962,20,14.286
25-02-2020 17:50,318,227,80,17,10,4,2,22.407,27.835,21.514,12.329,25.962,15.429,13.568
25-02-2020 17:55,358,236,93,14,8,1,4,25.472,31.579,25.352,11.613,21.176,25.714,13.882
25-02-2020 18:05,277,176,83,19,7,3,2,23.684,29.348,22.689,14.324,22.041,20.377,13.568
25-02-2020 18:10,339,202,81,17,11,3,2,25.962,25.962,20.69,11.921,23.276,16.168,12.217
25-02-2020 18:15,338,233,95,29,16,1,2,26.087,31.579,22.407,13.012,25.352,28.125,14.477
25-02-2020 18:20,263,214,80,22,15,4,5,27.411,29.508,25.116,15.562,21.774,19.565,12.617
25-02-2020 18:25,277,223,76,10,14,4,8,22.881,24.771,27.551,11.638,20,18.621,14.248
25-02-2020 18:35,300,225,85,17,8,2,2,25.714,31.214,25.962,13.706,20.532,26.341,10.931
25-02-2020 18:40,258,204,69,13,12,2,1,29.032,31.579,32.727,12.217,21.26,21.344,13.333
25-02-2020 18:45,258,220,67,15,10,1,2,22.594,24.658,20.769,12.19,18.243,12.676,15.126
25-02-2020 18:50,258,193,78,11,3,1,8,24.771,34.615,24.885,13.268,26.087,25.592,14.4
