datetime,Car_volume
27-02-2020 09:20,190
27-02-2020 09:25,219
27-02-2020 09:30,210
27-02-2020 09:35,202
27-02-2020 09:40,237
27-02-2020 09:45,192
27-02-2020 09:50,200
27-02-2020 09:55,230
27-02-2020 10:00,201
27-02-2020 10:05,240
27-02-2020 10:10,218
27-02-2020 10:15,229
27-02-2020 10:20,271
27-02-2020 10:25,253
27-02-2020 10:30,237
27-02-2020 10:35,241
27-02-2020 10:40,244
27-02-2020 10:45,257
27-02-2020 10:50,238
27-02-2020 10:55,254
27-02-2020 11:00,274
27-02-2020 16:35,285
27-02-2020 16:40,242
27-02-2020 16:45,258
27-02-2020 16:50,272
27-02-2020 16:55,260
27-02-2020 17:00,305
27-02-2020 17:05,268
27-02-2020 17:10,308
27-02-2020 17:15,241
27-02-2020 17:20,243
27-02-2020 17:25,225
27-02-2020 17:30,229
27-02-2020 17:35,268
27-02-2020 17:40,263
27-02-2020 17:45,279
27-02-2020 17:50,334
27-02-2020 17:55,336
27-02-2020 18:00,347
27-02-2020 18:05,332
27-02-2020 18:10,271
27-02-2020 18:15,315
27-02-2020 18:20,316
27-02-2020 18:25,289
27-02-2020 18:30,300
27-02-2020 18:35,306
27-02-2020 18:40,278
27-02-2020 18:45,242
27-02-2020 18:50,271
27-02-2020 18:55,292
27-02-2020 19:00,289
28-02-2020 08:35,333
28-02-2020 08:40,297
28-02-2020 08:45,296
28-02-2020 08:50,289
28-02-2020 08:55,288
28-02-2020 09:00,252
28-02-2020 09:05,299
28-02-2020 09:10,273
28-02-2020 09:15,304
28-02-2020 09:20,246
28-02-2020 09:25,324
28-02-2020 09:30,399
28-02-2020 09:35,333
28-02-2020 09:40,357
28-02-2020 09:45,300
28-02-2020 09:50,320
28-02-2020 09:55,329
28-02-2020 10:00,274
28-02-2020 10:05,307
28-02-2020 10:10,387
28-02-2020 10:15,321
28-02-2020 10:20,255
28-02-2020 10:25,275
28-02-2020 10:30,257
28-02-2020 10:35,286
28-02-2020 10:40,279
28-02-2020 10:45,254
28-02-2020 10:50,254
28-02-2020 10:55,246
28-02-2020 11:00,253
28-02-2020 16:35,296
28-02-2020 16:40,227
28-02-2020 16:45,297
28-02-2020 16:50,292
28-02-2020 16:55,258
28-02-2020 17:00,204
28-02-2020 17:05,302
28-02-2020 17:10,256
28-02-2020 17:15,285
28-02-2020 17:20,274
28-02-2020 17:25,280
28-02-2020 17:30,308
28-02-2020 17:35,300
28-02-2020 17:40,250
28-02-2020 17:45,279
28-02-2020 17:50,256
28-02-2020 17:55,313
28-02-2020 18:00,269
28-02-2020 18:05,277
28-02-2020 18:10,297
28-02-2020 18:15,315
28-02-2020 18:20,293
28-02-2020 18:25,248
28-02-2020 18:30,244
28-02-2020 18:35,276
28-02-2020 18:40,282
28-02-2020 18:45,266
28-02-2020 18:50,324
28-02-2020 18:55,304
28-02-2020 19:00,226
28-02-2020 08:35,171
28-02-2020 08:40,142
28-02-2020 08:45,156
28-02-2020 08:50,192
28-02-2020 08:55,206
28-02-2020 09:00,189
28-02-2020 09:05,195
28-02-2020 09:10,216
28-02-2020 09:15,210
28-02-2020 09:20,213
28-02-2020 09:25,192
28-02-2020 09:30,165
28-02-2020 09:35,196
28-02-2020 09:40,211
28-02-2020 09:45,233
28-02-2020 09:50,183
28-02-2020 09:55,232
28-02-2020 10:00,237
28-02-2020 10:05,216
28-02-2020 10:10,218
28-02-2020 10:15,202
28-02-2020 10:20,216
28-02-2020 10:25,286
28-02-2020 10:30,224
28-02-2020 10:35,235
28-02-2020 10:40,241
28-02-2020 10:45,262
28-02-2020 10:50,233
28-02-2020 10:55,249
28-02-2020 11:00,223
28-02-2020 16:35,102
28-02-2020 16:40,112
28-02-2020 16:45,113
28-02-2020 16:50,123
28-02-2020 16:55,132
28-02-2020 17:00,128
28-02-2020 17:05,250
28-02-2020 17:10,243
28-02-2020 17:15,287
28-02-2020 17:20,325
28-02-2020 17:25,319
28-02-2020 17:30,311
28-02-2020 17:35,240
28-02-2020 17:40,291
28-02-2020 17:45,354
28-02-2020 17:50,316
28-02-2020 17:55,316
28-02-2020 18:00,317
28-02-2020 18:05,334
28-02-2020 18:10,336
28-02-2020 18:15,317
28-02-2020 18:20,327
28-02-2020 18:25,421
28-02-2020 18:30,306
28-02-2020 18:35,224
28-02-2020 18:40,267
28-02-2020 18:45,286
28-02-2020 18:50,323
28-02-2020 18:55,310
28-02-2020 19:00,283
