datetime,3W_speed
26-02-2020 10:35,30.224
26-02-2020 10:40,26.786
26-02-2020 10:45,27.108
26-02-2020 10:50,29.348
26-02-2020 10:55,29.605
26-02-2020 11:00,25.763
26-02-2020 16:35,26.68
26-02-2020 16:40,22.881
26-02-2020 16:45,17.59
26-02-2020 16:50,21.293
26-02-2020 16:55,22.351
26-02-2020 17:00,20.149
26-02-2020 17:05,19.679
26-02-2020 17:10,26.892
26-02-2020 17:15,25.376
26-02-2020 17:20,22.204
26-02-2020 17:25,22.651
26-02-2020 17:30,24.107
26-02-2020 17:35,24.368
26-02-2020 17:40,22.425
26-02-2020 17:45,23.41
26-02-2020 17:50,29.867
26-02-2020 17:55,27.218
26-02-2020 18:00,22.575
26-02-2020 18:05,22.727
26-02-2020 18:10,26.367
26-02-2020 18:15,21.916
26-02-2020 18:20,23.438
26-02-2020 18:25,27.108
26-02-2020 18:30,23.116
26-02-2020 18:35,24.457
26-02-2020 18:40,23.437
26-02-2020 18:45,26.062
26-02-2020 18:50,27.218
26-02-2020 18:55,31.84
26-02-2020 19:00,23.276
26-02-2020 08:35,25.714
26-02-2020 08:40,32.335
26-02-2020 08:45,29.67
26-02-2020 08:50,32.143
26-02-2020 08:55,19.926
26-02-2020 09:00,27.136
26-02-2020 09:05,30.168
26-02-2020 09:10,31.034
26-02-2020 09:15,27.692
26-02-2020 09:20,29.834
26-02-2020 09:25,35.762
26-02-2020 09:30,23.377
26-02-2020 09:35,29.032
26-02-2020 09:40,26.733
26-02-2020 09:45,29.834
26-02-2020 09:50,27.136
26-02-2020 09:55,24.107
26-02-2020 10:00,25.962
26-02-2020 10:05,22.881
26-02-2020 10:10,27.551
26-02-2020 10:15,29.508
26-02-2020 10:20,28.571
26-02-2020 10:25,30.168
26-02-2020 10:30,25.234
26-02-2020 10:35,33.129
26-02-2020 10:40,26.214
26-02-2020 10:45,34.177
26-02-2020 10:50,28.723
26-02-2020 10:55,27.835
26-02-2020 11:00,27.551
26-02-2020 16:35,30.508
26-02-2020 16:40,27.411
26-02-2020 16:45,27.835
26-02-2020 16:50,27.411
26-02-2020 16:55,29.508
26-02-2020 17:00,31.214
26-02-2020 17:05,25.837
26-02-2020 17:10,25.234
26-02-2020 17:15,23.276
26-02-2020 17:20,25.962
26-02-2020 17:25,25.234
26-02-2020 17:30,25.352
26-02-2020 17:35,21.176
26-02-2020 17:40,25.592
26-02-2020 17:45,25.116
26-02-2020 17:50,28.877
26-02-2020 17:55,24.545
26-02-2020 18:00,25.592
26-02-2020 18:05,30.168
26-02-2020 18:10,19.286
26-02-2020 18:15,13.636
26-02-2020 18:20,18.75
26-02-2020 18:25,19.636
26-02-2020 18:30,23.684
26-02-2020 18:35,23.077
26-02-2020 18:40,23.894
26-02-2020 18:45,27.835
26-02-2020 18:50,26.601
26-02-2020 18:55,27
26-02-2020 19:00,23.581
27-02-2020 08:35,42.722
27-02-2020 08:40,34.091
27-02-2020 08:45,36.885
27-02-2020 08:50,29.095
27-02-2020 08:55,33.416
27-02-2020 09:00,35.526
27-02-2020 09:05,32.767
27-02-2020 09:10,32.609
27-02-2020 09:15,26.68
27-02-2020 09:20,33.251
27-02-2020 09:25,24.237
27-02-2020 09:30,26.892
27-02-2020 09:35,25.568
