datetime,ave_speed
28-02-2020 17:40,20.540
28-02-2020 17:45,22.518
28-02-2020 17:50,20.731
28-02-2020 17:55,23.069
28-02-2020 18:00,21.212
28-02-2020 18:05,20.821
28-02-2020 18:10,22.723
28-02-2020 18:15,22.700
28-02-2020 18:20,20.449
28-02-2020 18:25,22.485
28-02-2020 18:30,15.895
28-02-2020 18:35,19.859
28-02-2020 18:40,22.086
28-02-2020 18:45,22.350
28-02-2020 18:50,22.160
28-02-2020 18:55,19.402
28-02-2020 19:00,23.646
28-02-2020 08:35,29.882
28-02-2020 08:40,27.292
28-02-2020 08:45,24.089
28-02-2020 08:50,27.384
28-02-2020 08:55,23.420
28-02-2020 09:00,22.718
28-02-2020 09:05,26.035
28-02-2020 09:10,24.984
28-02-2020 09:15,24.445
28-02-2020 09:20,25.700
28-02-2020 09:25,25.736
28-02-2020 09:30,24.679
28-02-2020 09:35,27.133
28-02-2020 09:40,23.279
28-02-2020 09:45,20.623
28-02-2020 09:50,23.983
28-02-2020 09:55,20.580
28-02-2020 10:00,21.356
28-02-2020 10:05,25.185
28-02-2020 10:10,18.921
28-02-2020 10:15,24.017
28-02-2020 10:20,23.324
28-02-2020 10:25,19.502
28-02-2020 10:30,23.065
28-02-2020 10:35,24.903
28-02-2020 10:40,22.903
28-02-2020 10:45,22.956
28-02-2020 10:50,24.955
28-02-2020 10:55,23.359
28-02-2020 11:00,23.007
28-02-2020 16:35,2.583
28-02-2020 16:40,2.711
28-02-2020 16:45,2.977
28-02-2020 16:50,3.626
28-02-2020 16:55,4.484
28-02-2020 17:00,5.144
28-02-2020 17:05,13.798
28-02-2020 17:10,9.737
28-02-2020 17:15,9.889
28-02-2020 17:20,11.515
28-02-2020 17:25,23.718
28-02-2020 17:30,21.234
28-02-2020 17:35,23.066
28-02-2020 17:40,24.057
28-02-2020 17:45,22.652
28-02-2020 17:50,21.126
28-02-2020 17:55,22.203
28-02-2020 18:00,24.764
28-02-2020 18:05,20.834
28-02-2020 18:10,21.524
28-02-2020 18:15,21.777
28-02-2020 18:20,19.519
28-02-2020 18:25,13.440
28-02-2020 18:30,11.052
28-02-2020 18:35,22.872
28-02-2020 18:40,25.335
28-02-2020 18:45,24.544
28-02-2020 18:50,23.134
28-02-2020 18:55,20.705
28-02-2020 19:00,21.523
