datetime,Car_speed
27-02-2020 08:40,35.84
27-02-2020 08:45,35.53
27-02-2020 08:50,39.32
27-02-2020 08:55,30.68
27-02-2020 09:00,32.66
27-02-2020 09:05,26.47
27-02-2020 09:10,33.75
27-02-2020 09:15,37.16
27-02-2020 09:20,34.32
27-02-2020 09:25,34.62
27-02-2020 09:30,30.22
27-02-2020 09:35,34.32
27-02-2020 09:40,36.82
27-02-2020 09:45,30.92
27-02-2020 09:50,34.91
27-02-2020 09:55,31.95
27-02-2020 10:00,28.12
27-02-2020 10:05,30.92
27-02-2020 10:10,25.8
27-02-2020 10:15,32.14
27-02-2020 10:20,29.35
27-02-2020 10:25,28.32
27-02-2020 10:30,31.15
27-02-2020 10:35,29.35
27-02-2020 10:40,27.93
27-02-2020 10:45,22.5
27-02-2020 10:50,25
27-02-2020 10:55,22.88
27-02-2020 11:00,33.75
27-02-2020 16:35,26.82
27-02-2020 16:40,30
27-02-2020 16:45,24.11
27-02-2020 16:50,27
27-02-2020 16:55,29.56
27-02-2020 17:00,27.93
27-02-2020 17:05,34.62
27-02-2020 17:10,22.01
27-02-2020 17:15,29.56
27-02-2020 17:20,27.55
27-02-2020 17:25,31.4
27-02-2020 17:30,26.3
27-02-2020 17:35,27.93
27-02-2020 17:40,25.8
27-02-2020 17:45,28.72
27-02-2020 17:50,26.3
27-02-2020 17:55,29.03
27-02-2020 18:00,22.88
27-02-2020 18:05,21.77
27-02-2020 18:10,28.93
27-02-2020 18:15,24.85
27-02-2020 18:20,29.14
27-02-2020 18:25,24.25
27-02-2020 18:30,23.28
27-02-2020 18:35,27.36
27-02-2020 18:40,28.93
27-02-2020 18:45,30.45
27-02-2020 18:50,26.05
27-02-2020 18:55,33.47
27-02-2020 19:00,31.09
28-02-2020 08:35,31.542
28-02-2020 08:40,25.093
28-02-2020 08:45,31.106
28-02-2020 08:50,28.97
28-02-2020 08:55,28.602
28-02-2020 09:00,26.265
28-02-2020 09:05,30.134
28-02-2020 09:10,30.682
28-02-2020 09:15,29.867
28-02-2020 09:20,19.438
28-02-2020 09:25,27.439
28-02-2020 09:30,23.684
28-02-2020 09:35,23.116
28-02-2020 09:40,25.962
28-02-2020 09:45,22.425
28-02-2020 09:50,26.471
28-02-2020 09:55,26.062
28-02-2020 10:00,25.281
28-02-2020 10:05,21.412
28-02-2020 10:10,27.979
28-02-2020 10:15,25.568
28-02-2020 10:20,28.846
28-02-2020 10:25,29.736
28-02-2020 10:30,27.439
28-02-2020 10:35,24.107
28-02-2020 10:40,20.089
28-02-2020 10:45,25.305
28-02-2020 10:50,24.479
28-02-2020 10:55,22.277
28-02-2020 11:00,28.846
28-02-2020 16:35,19.795
28-02-2020 16:40,21.028
28-02-2020 16:45,26.163
28-02-2020 16:50,24.194
28-02-2020 16:55,20.833
28-02-2020 17:00,25.962
28-02-2020 17:05,22.881
28-02-2020 17:10,25.472
28-02-2020 17:15,23.643
28-02-2020 17:20,28.97
28-02-2020 17:25,25
28-02-2020 17:30,24.215
28-02-2020 17:35,20.833
28-02-2020 17:40,24.635
28-02-2020 17:45,26.601
28-02-2020 17:50,24.021
28-02-2020 17:55,27.3
28-02-2020 18:00,24.107
28-02-2020 18:05,25.281
28-02-2020 18:10,29.095
28-02-2020 18:15,24.816
28-02-2020 18:20,23.256
28-02-2020 18:25,24.457
28-02-2020 18:30,18.145
28-02-2020 18:35,20.898
28-02-2020 18:40,23.768
28-02-2020 18:45,24.368
28-02-2020 18:50,24.457
28-02-2020 18:55,23.276
28-02-2020 19:00,24.194
28-02-2020 08:35,38.793
28-02-2020 08:40,25.763
28-02-2020 08:45,32.143
28-02-2020 08:50,31.84
28-02-2020 08:55,29.095
28-02-2020 09:00,29.605
28-02-2020 09:05,31.542
28-02-2020 09:10,34.615
28-02-2020 09:15,30.134
28-02-2020 09:20,31.106
28-02-2020 09:25,29.605
28-02-2020 09:30,30.822
28-02-2020 09:35,34.439
28-02-2020 09:40,33.582
28-02-2020 09:45,21.916
28-02-2020 09:50,33.582
28-02-2020 09:55,25.281
28-02-2020 10:00,30.963
28-02-2020 10:05,32.452
28-02-2020 10:10,25.281
28-02-2020 10:15,29.867
28-02-2020 10:20,30.269
28-02-2020 10:25,34.439
28-02-2020 10:30,26.367
28-02-2020 10:35,29.095
28-02-2020 10:40,29.221
28-02-2020 10:45,26.654
28-02-2020 10:50,29.605
28-02-2020 10:55,31.991
28-02-2020 11:00,28.602
28-02-2020 16:35,2.019
28-02-2020 16:40,2.795
28-02-2020 16:45,3.282
28-02-2020 16:50,2.167
28-02-2020 16:55,3.219
28-02-2020 17:00,2.453
28-02-2020 17:05,10.056
28-02-2020 17:10,5.823
28-02-2020 17:15,6.916
28-02-2020 17:20,10
28-02-2020 17:25,28.125
28-02-2020 17:30,25.763
28-02-2020 17:35,26.163
28-02-2020 17:40,30.067
28-02-2020 17:45,27.664
28-02-2020 17:50,24.021
28-02-2020 17:55,27.328
28-02-2020 18:00,31.991
28-02-2020 18:05,27.893
28-02-2020 18:10,25.376
28-02-2020 18:15,23.768
28-02-2020 18:20,22.444
28-02-2020 18:25,12.523
28-02-2020 18:30,8.501
28-02-2020 18:35,24.457
28-02-2020 18:40,31.106
28-02-2020 18:45,28.243
28-02-2020 18:50,25.376
28-02-2020 18:55,24.281
28-02-2020 19:00,25.376
