datetime,Truck_speed
27-02-2020 08:45,14.84
27-02-2020 08:50,14.84
27-02-2020 08:55,25.47
27-02-2020 09:00,21.43
27-02-2020 09:05,21.26
27-02-2020 09:10,24.77
27-02-2020 09:15,28.13
27-02-2020 09:20,22.13
27-02-2020 09:25,18.12
27-02-2020 09:30,28.72
27-02-2020 09:35,22.43
27-02-2020 09:40,22.43
27-02-2020 09:45,18.62
27-02-2020 09:50,22.5
27-02-2020 09:55,22.63
27-02-2020 10:00,24.55
27-02-2020 10:05,20.66
27-02-2020 10:10,18.12
27-02-2020 10:15,18.24
27-02-2020 10:20,22.69
27-02-2020 10:25,21.43
27-02-2020 10:30,21.43
27-02-2020 10:35,29.03
27-02-2020 10:40,29.03
27-02-2020 10:45,18
27-02-2020 10:50,17.76
27-02-2020 10:55,22.88
27-02-2020 11:00,20.22
27-02-2020 16:35,16.46
27-02-2020 16:40,18.24
27-02-2020 16:45,18.33
27-02-2020 16:50,18.75
27-02-2020 16:55,28.12
27-02-2020 17:00,23.48
27-02-2020 17:05,20.56
27-02-2020 17:10,17.16
27-02-2020 17:15,18.33
27-02-2020 17:20,20.15
27-02-2020 17:25,22.31
27-02-2020 17:30,25.23
27-02-2020 17:35,19.85
27-02-2020 17:40,19.85
27-02-2020 17:45,19.57
27-02-2020 17:50,17.76
27-02-2020 17:55,16.67
27-02-2020 18:00,9.06
27-02-2020 18:05,19.57
27-02-2020 18:10,19.1
27-02-2020 18:15,18
27-02-2020 18:20,18
27-02-2020 18:25,16.88
27-02-2020 18:30,16.9
27-02-2020 18:35,21.66
27-02-2020 18:40,16.67
27-02-2020 18:45,22.5
27-02-2020 18:50,22.5
27-02-2020 18:55,22.5
27-02-2020 19:00,23.28
28-02-2020 08:35,23.824
28-02-2020 08:40,18.243
28-02-2020 08:45,17.783
28-02-2020 08:50,20.769
28-02-2020 08:55,24.398
28-02-2020 09:00,21.094
28-02-2020 09:05,25.714
28-02-2020 09:10,25.714
28-02-2020 09:15,20.301
28-02-2020 09:20,9.507
28-02-2020 09:25,27
28-02-2020 09:30,21.6
28-02-2020 09:35,16.531
28-02-2020 09:40,25.472
28-02-2020 09:45,19.149
28-02-2020 09:50,22.5
28-02-2020 09:55,18
28-02-2020 10:00,18.243
28-02-2020 10:05,14.362
28-02-2020 10:10,21.6
28-02-2020 10:15,16.736
28-02-2020 10:20,20.05
28-02-2020 10:25,22.253
28-02-2020 10:30,16.168
28-02-2020 10:35,20.149
28-02-2020 10:40,19.286
28-02-2020 10:45,18.243
28-02-2020 10:50,14.362
28-02-2020 10:55,30
28-02-2020 11:00,20.532
28-02-2020 16:35,17.419
28-02-2020 16:40,18.121
28-02-2020 16:45,21.687
28-02-2020 16:50,18.881
28-02-2020 16:55,15.882
28-02-2020 17:00,18.161
28-02-2020 17:05,16.981
28-02-2020 17:10,17.881
28-02-2020 17:15,19.565
28-02-2020 17:20,19.081
28-02-2020 17:25,20.611
28-02-2020 17:30,15.698
28-02-2020 17:35,17.197
28-02-2020 17:40,21.094
28-02-2020 17:45,20.149
28-02-2020 17:50,23.894
28-02-2020 17:55,20.225
28-02-2020 18:00,18
28-02-2020 18:05,17.647
28-02-2020 18:10,17.647
28-02-2020 18:15,19.565
28-02-2020 18:20,19.149
28-02-2020 18:25,19.378
28-02-2020 18:30,17.161
28-02-2020 18:35,17.763
28-02-2020 18:40,15.698
28-02-2020 18:45,21.204
28-02-2020 18:50,20.05
28-02-2020 18:55,17.308
28-02-2020 19:00,19.853
28-02-2020 08:35,30.682
28-02-2020 08:40,30.682
28-02-2020 08:45,22.5
28-02-2020 08:50,25.234
28-02-2020 08:55,25
28-02-2020 09:00,22.314
28-02-2020 09:05,21.429
28-02-2020 09:10,21.429
28-02-2020 09:15,21.543
28-02-2020 09:20,21.543
28-02-2020 09:25,21.951
28-02-2020 09:30,22.101
28-02-2020 09:35,20.455
28-02-2020 09:40,18.243
28-02-2020 09:45,15.169
28-02-2020 09:50,20.352
28-02-2020 09:55,17.763
28-02-2020 10:00,10.266
28-02-2020 10:05,22.881
28-02-2020 10:10,22.689
28-02-2020 10:15,17.419
28-02-2020 10:20,18.08
28-02-2020 10:25,19.951
28-02-2020 10:30,25.633
28-02-2020 10:35,22.131
