datetime,Truck_volume
27-02-2020 18:05,4
27-02-2020 18:10,3
27-02-2020 18:15,4
27-02-2020 18:20,1
27-02-2020 18:25,2
27-02-2020 18:30,1
27-02-2020 18:35,3
27-02-2020 18:40,5
27-02-2020 18:45,5
27-02-2020 18:50,1
27-02-2020 18:55,4
27-02-2020 19:00,2
28-02-2020 08:35,1
28-02-2020 08:40,4
28-02-2020 08:45,2
28-02-2020 08:50,4
28-02-2020 08:55,0
28-02-2020 09:00,2
28-02-2020 09:05,0
28-02-2020 09:10,4
28-02-2020 09:15,2
28-02-2020 09:20,1
28-02-2020 09:25,3
28-02-2020 09:30,5
28-02-2020 09:35,2
28-02-2020 09:40,2
28-02-2020 09:45,3
28-02-2020 09:50,3
28-02-2020 09:55,1
28-02-2020 10:00,2
28-02-2020 10:05,4
28-02-2020 10:10,5
28-02-2020 10:15,2
28-02-2020 10:20,1
28-02-2020 10:25,3
28-02-2020 10:30,3
28-02-2020 10:35,5
28-02-2020 10:40,1
28-02-2020 10:45,1
28-02-2020 10:50,1
28-02-2020 10:55,2
28-02-2020 11:00,3
28-02-2020 16:35,3
28-02-2020 16:40,2
28-02-2020 16:45,3
28-02-2020 16:50,2
28-02-2020 16:55,6
28-02-2020 17:00,3
28-02-2020 17:05,3
28-02-2020 17:10,1
28-02-2020 17:15,3
28-02-2020 17:20,4
28-02-2020 17:25,5
28-02-2020 17:30,3
28-02-2020 17:35,4
28-02-2020 17:40,3
28-02-2020 17:45,3
28-02-2020 17:50,7
28-02-2020 17:55,2
28-02-2020 18:00,2
28-02-2020 18:05,0
28-02-2020 18:10,3
28-02-2020 18:15,3
28-02-2020 18:20,4
28-02-2020 18:25,3
28-02-2020 18:30,2
28-02-2020 18:35,2
28-02-2020 18:40,2
28-02-2020 18:45,3
28-02-2020 18:50,0
28-02-2020 18:55,4
28-02-2020 19:00,5
28-02-2020 08:35,2
28-02-2020 08:40,3
28-02-2020 08:45,4
28-02-2020 08:50,3
28-02-2020 08:55,3
28-02-2020 09:00,2
28-02-2020 09:05,2
28-02-2020 09:10,0
28-02-2020 09:15,3
28-02-2020 09:20,0
28-02-2020 09:25,4
28-02-2020 09:30,2
28-02-2020 09:35,2
28-02-2020 09:40,3
28-02-2020 09:45,2
28-02-2020 09:50,4
28-02-2020 09:55,1
28-02-2020 10:00,2
28-02-2020 10:05,1
28-02-2020 10:10,2
28-02-2020 10:15,2
28-02-2020 10:20,3
28-02-2020 10:25,3
28-02-2020 10:30,3
28-02-2020 10:35,3
28-02-2020 10:40,3
28-02-2020 10:45,0
28-02-2020 10:50,1
28-02-2020 10:55,3
28-02-2020 11:00,3
28-02-2020 16:35,9
28-02-2020 16:40,5
28-02-2020 16:45,4
28-02-2020 16:50,11
28-02-2020 16:55,10
28-02-2020 17:00,6
28-02-2020 17:05,11
28-02-2020 17:10,2
28-02-2020 17:15,5
28-02-2020 17:20,4
28-02-2020 17:25,4
28-02-2020 17:30,1
28-02-2020 17:35,4
28-02-2020 17:40,3
28-02-2020 17:45,6
28-02-2020 17:50,5
28-02-2020 17:55,2
28-02-2020 18:00,5
28-02-2020 18:05,1
28-02-2020 18:10,2
28-02-2020 18:15,1
28-02-2020 18:20,2
28-02-2020 18:25,3
28-02-2020 18:30,2
28-02-2020 18:35,0
28-02-2020 18:40,0
28-02-2020 18:45,1
28-02-2020 18:50,1
28-02-2020 18:55,4
28-02-2020 19:00,2
