datetime,2W_volume
27-02-2020 18:45,181
27-02-2020 18:50,206
27-02-2020 18:55,117
27-02-2020 19:00,176
28-02-2020 08:35,127
28-02-2020 08:40,142
28-02-2020 08:45,151
28-02-2020 08:50,135
28-02-2020 08:55,162
28-02-2020 09:00,186
28-02-2020 09:05,193
28-02-2020 09:10,194
28-02-2020 09:15,208
28-02-2020 09:20,163
28-02-2020 09:25,185
28-02-2020 09:30,244
28-02-2020 09:35,231
28-02-2020 09:40,219
28-02-2020 09:45,216
28-02-2020 09:50,253
28-02-2020 09:55,231
28-02-2020 10:00,240
28-02-2020 10:05,230
28-02-2020 10:10,329
28-02-2020 10:15,231
28-02-2020 10:20,181
28-02-2020 10:25,219
28-02-2020 10:30,213
28-02-2020 10:35,198
28-02-2020 10:40,193
28-02-2020 10:45,204
28-02-2020 10:50,220
28-02-2020 10:55,189
28-02-2020 11:00,182
28-02-2020 16:35,175
28-02-2020 16:40,129
28-02-2020 16:45,146
28-02-2020 16:50,138
28-02-2020 16:55,152
28-02-2020 17:00,109
28-02-2020 17:05,147
28-02-2020 17:10,139
28-02-2020 17:15,153
28-02-2020 17:20,162
28-02-2020 17:25,162
28-02-2020 17:30,172
28-02-2020 17:35,153
28-02-2020 17:40,161
28-02-2020 17:45,134
28-02-2020 17:50,162
28-02-2020 17:55,184
28-02-2020 18:00,162
28-02-2020 18:05,153
28-02-2020 18:10,148
28-02-2020 18:15,174
28-02-2020 18:20,152
28-02-2020 18:25,164
28-02-2020 18:30,140
28-02-2020 18:35,159
28-02-2020 18:40,130
28-02-2020 18:45,187
28-02-2020 18:50,132
28-02-2020 18:55,171
28-02-2020 19:00,138
28-02-2020 08:35,70
28-02-2020 08:40,105
28-02-2020 08:45,81
28-02-2020 08:50,108
28-02-2020 08:55,64
28-02-2020 09:00,93
28-02-2020 09:05,117
28-02-2020 09:10,129
28-02-2020 09:15,114
28-02-2020 09:20,140
28-02-2020 09:25,106
28-02-2020 09:30,126
28-02-2020 09:35,117
28-02-2020 09:40,133
28-02-2020 09:45,156
28-02-2020 09:50,144
28-02-2020 09:55,162
28-02-2020 10:00,176
28-02-2020 10:05,168
28-02-2020 10:10,174
28-02-2020 10:15,171
28-02-2020 10:20,222
28-02-2020 10:25,252
28-02-2020 10:30,191
28-02-2020 10:35,162
28-02-2020 10:40,181
28-02-2020 10:45,204
28-02-2020 10:50,187
28-02-2020 10:55,175
28-02-2020 11:00,175
28-02-2020 16:35,39
28-02-2020 16:40,39
28-02-2020 16:45,40
28-02-2020 16:50,33
28-02-2020 16:55,66
28-02-2020 17:00,52
28-02-2020 17:05,155
28-02-2020 17:10,154
28-02-2020 17:15,132
28-02-2020 17:20,197
28-02-2020 17:25,193
28-02-2020 17:30,218
28-02-2020 17:35,170
28-02-2020 17:40,190
28-02-2020 17:45,190
28-02-2020 17:50,197
28-02-2020 17:55,178
28-02-2020 18:00,196
28-02-2020 18:05,187
28-02-2020 18:10,204
28-02-2020 18:15,190
28-02-2020 18:20,223
28-02-2020 18:25,209
28-02-2020 18:30,184
28-02-2020 18:35,146
28-02-2020 18:40,175
28-02-2020 18:45,192
28-02-2020 18:50,236
28-02-2020 18:55,184
28-02-2020 19:00,167
