datetime,LCV_speed
27-02-2020 18:25,18.367
27-02-2020 18:30,15.254
27-02-2020 18:35,22.131
27-02-2020 18:40,19.708
27-02-2020 18:45,17.419
27-02-2020 18:50,17.252
27-02-2020 18:55,19.853
27-02-2020 19:00,25.472
27-02-2020 08:35,19.57
27-02-2020 08:40,24.77
27-02-2020 08:45,24.77
27-02-2020 08:50,35.53
27-02-2020 08:55,23.08
27-02-2020 09:00,23.08
27-02-2020 09:05,25.71
27-02-2020 09:10,25.71
27-02-2020 09:15,26.73
27-02-2020 09:20,26.73
27-02-2020 09:25,15.7
27-02-2020 09:30,22.69
27-02-2020 09:35,21.26
27-02-2020 09:40,33.75
27-02-2020 09:45,20.93
27-02-2020 09:50,23.68
27-02-2020 09:55,25.47
27-02-2020 10:00,22.38
27-02-2020 10:05,19.57
27-02-2020 10:10,22.25
27-02-2020 10:15,30.22
27-02-2020 10:20,24.55
27-02-2020 10:25,36.49
27-02-2020 10:30,21.95
27-02-2020 10:35,17.09
27-02-2020 10:40,30
27-02-2020 10:45,22.69
27-02-2020 10:50,23.89
27-02-2020 10:55,22.85
27-02-2020 11:00,19.57
27-02-2020 16:35,24.7
27-02-2020 16:40,23.96
27-02-2020 16:45,22.1
27-02-2020 16:50,28.93
27-02-2020 16:55,20.88
27-02-2020 17:00,26.13
27-02-2020 17:05,21.89
27-02-2020 17:10,19.29
27-02-2020 17:15,25.47
27-02-2020 17:20,35.84
27-02-2020 17:25,25.96
27-02-2020 17:30,28.12
27-02-2020 17:35,25.31
27-02-2020 17:40,28.12
27-02-2020 17:45,27.74
27-02-2020 17:50,27.74
27-02-2020 17:55,27.74
27-02-2020 18:00,16.53
27-02-2020 18:05,19.42
27-02-2020 18:10,23.41
27-02-2020 18:15,20.02
27-02-2020 18:20,22.69
27-02-2020 18:25,22.88
27-02-2020 18:30,21.77
27-02-2020 18:35,27.93
27-02-2020 18:40,25.16
27-02-2020 18:45,23.96
27-02-2020 18:50,29.35
27-02-2020 18:55,29.35
27-02-2020 19:00,23.82
28-02-2020 08:35,31.395
28-02-2020 08:40,21.012
28-02-2020 08:45,17.686
28-02-2020 08:50,32.143
28-02-2020 08:55,21.774
28-02-2020 09:00,25.155
28-02-2020 09:05,19.149
28-02-2020 09:10,25
28-02-2020 09:15,19.149
28-02-2020 09:20,24.545
28-02-2020 09:25,25.714
28-02-2020 09:30,20.642
28-02-2020 09:35,20.149
28-02-2020 09:40,26.214
28-02-2020 09:45,23.684
28-02-2020 09:50,21.429
28-02-2020 09:55,24.434
28-02-2020 10:00,24
28-02-2020 10:05,20
28-02-2020 10:10,26.471
28-02-2020 10:15,24.324
28-02-2020 10:20,27.835
28-02-2020 10:25,31.034
28-02-2020 10:30,29.348
28-02-2020 10:35,23.581
28-02-2020 10:40,20.769
28-02-2020 10:45,23.894
28-02-2020 10:50,21.6
28-02-2020 10:55,13.139
28-02-2020 11:00,25.472
28-02-2020 16:35,18.326
28-02-2020 16:40,17.532
28-02-2020 16:45,21.243
28-02-2020 16:50,23.789
28-02-2020 16:55,20.377
28-02-2020 17:00,22.131
28-02-2020 17:05,23.684
28-02-2020 17:10,18.621
28-02-2020 17:15,26.733
28-02-2020 17:20,20.93
28-02-2020 17:25,25
28-02-2020 17:30,20.455
28-02-2020 17:35,16.531
28-02-2020 17:40,15.517
28-02-2020 17:45,18.947
28-02-2020 17:50,15.759
28-02-2020 17:55,24.215
28-02-2020 18:00,22.5
28-02-2020 18:05,23.478
28-02-2020 18:10,21.571
28-02-2020 18:15,22.881
28-02-2020 18:20,20.225
28-02-2020 18:25,20.149
28-02-2020 18:30,18.75
28-02-2020 18:35,21.557
28-02-2020 18:40,24.771
28-02-2020 18:45,21.892
28-02-2020 18:50,23.581
28-02-2020 18:55,17.578
28-02-2020 19:00,23.143
28-02-2020 08:35,27.273
28-02-2020 08:40,24.545
28-02-2020 08:45,20.301
28-02-2020 08:50,26.214
28-02-2020 08:55,22.689
28-02-2020 09:00,25.962
28-02-2020 09:05,30.916
28-02-2020 09:10,21.094
28-02-2020 09:15,26.575
28-02-2020 09:20,21.862
28-02-2020 09:25,28.125
28-02-2020 09:30,21.6
28-02-2020 09:35,31.953
28-02-2020 09:40,21.429
28-02-2020 09:45,20.25
28-02-2020 09:50,20.25
28-02-2020 09:55,21.658
28-02-2020 10:00,23.684
28-02-2020 10:05,29.67
28-02-2020 10:10,3.639
28-02-2020 10:15,22.5
28-02-2020 10:20,21.26
28-02-2020 10:25,20.532
28-02-2020 10:30,21.892
28-02-2020 10:35,25.472
28-02-2020 10:40,21.316
28-02-2020 10:45,20.769
28-02-2020 10:50,27.692
28-02-2020 10:55,22.689
28-02-2020 11:00,22.351
28-02-2020 16:35,2.34
28-02-2020 16:40,2.159
28-02-2020 16:45,3.636
28-02-2020 16:50,3.93
28-02-2020 16:55,4.259
28-02-2020 17:00,2.252
28-02-2020 17:05,20.69
28-02-2020 17:10,15.836
28-02-2020 17:15,11.25
28-02-2020 17:20,10.321
28-02-2020 17:25,23.936
28-02-2020 17:30,20.149
28-02-2020 17:35,22.881
28-02-2020 17:40,28.929
28-02-2020 17:45,26.471
28-02-2020 17:50,21.204
28-02-2020 17:55,20.663
28-02-2020 18:00,24.107
28-02-2020 18:05,24.771
28-02-2020 18:10,24.194
28-02-2020 18:15,24.457
28-02-2020 18:20,23.356
28-02-2020 18:25,16.383
28-02-2020 18:30,10.757
28-02-2020 18:35,20.455
28-02-2020 18:40,28.322
28-02-2020 18:45,32.143
28-02-2020 18:50,27.136
28-02-2020 18:55,23.936
28-02-2020 19:00,24.398
