datetime,PCUFlow
2/27/2020 18:40,537.60
2/27/2020 18:45,473.65
2/27/2020 18:50,499.64
2/27/2020 18:55,565.69
2/27/2020 8:35,457.86
2/27/2020 8:40,465.57
2/27/2020 8:45,589.04
2/27/2020 8:50,505.51
2/27/2020 8:55,573.93
2/27/2020 9:05,538.31
2/27/2020 9:10,458.38
2/27/2020 9:15,514.81
2/27/2020 9:20,551.04
2/27/2020 9:25,623.83
2/27/2020 9:35,475.38
2/27/2020 9:40,529.16
2/27/2020 9:45,406.73
2/27/2020 9:50,652.00
2/27/2020 9:55,572.44
2/27/2020 10:05,470.41
2/27/2020 10:10,451.93
2/27/2020 10:15,610.96
2/27/2020 10:20,550.89
2/27/2020 10:25,582.48
2/27/2020 10:35,543.73
2/27/2020 10:40,582.01
2/27/2020 10:45,500.09
2/27/2020 10:50,532.06
2/27/2020 10:55,537.20
2/27/2020 16:35,646.60
2/27/2020 16:40,650.67
2/27/2020 16:45,516.66
2/27/2020 16:50,612.99
2/27/2020 16:55,554.28
2/27/2020 17:05,673.64
2/27/2020 17:10,646.00
2/27/2020 17:15,645.98
2/27/2020 17:20,544.34
2/27/2020 17:25,528.90
2/27/2020 17:35,489.33
2/27/2020 17:40,594.13
2/27/2020 17:45,475.67
2/27/2020 17:50,605.45
2/27/2020 17:55,578.49
2/27/2020 18:05,639.14
2/27/2020 18:10,559.01
2/27/2020 18:15,621.23
2/27/2020 18:20,607.54
2/27/2020 18:25,642.49
2/27/2020 18:35,570.86
2/27/2020 18:40,567.60
2/27/2020 18:45,498.25
2/27/2020 18:50,455.16
2/27/2020 18:55,536.65
2/28/2020 8:35,612.72
2/28/2020 8:40,519.69
2/28/2020 8:45,558.52
2/28/2020 8:50,495.52
2/28/2020 8:55,479.52
2/28/2020 9:05,548.70
2/28/2020 9:10,545.15
2/28/2020 9:15,549.75
2/28/2020 9:20,401.18
2/28/2020 9:25,636.88
2/28/2020 9:35,604.19
2/28/2020 9:40,632.94
2/28/2020 9:45,548.32
2/28/2020 9:50,627.19
2/28/2020 9:55,608.40
2/28/2020 10:05,606.57
2/28/2020 10:10,790.43
2/28/2020 10:15,552.17
2/28/2020 10:20,520.83
2/28/2020 10:25,556.34
2/28/2020 10:35,525.90
2/28/2020 10:40,487.58
2/28/2020 10:45,558.04
2/28/2020 10:50,553.05
2/28/2020 10:55,480.11
2/28/2020 16:35,549.57
2/28/2020 16:40,455.42
2/28/2020 16:45,539.12
2/28/2020 16:50,499.22
2/28/2020 16:55,500.95
2/28/2020 17:05,547.06
2/28/2020 17:10,493.42
2/28/2020 17:15,508.15
2/28/2020 17:20,555.48
2/28/2020 17:25,553.10
2/28/2020 17:35,642.65
2/28/2020 17:40,507.07
2/28/2020 17:45,483.70
2/28/2020 17:50,502.21
2/28/2020 17:55,532.13
2/28/2020 18:05,520.04
2/28/2020 18:10,600.59
2/28/2020 18:15,538.64
2/28/2020 18:20,499.56
2/28/2020 18:25,466.69
2/28/2020 18:35,464.17
2/28/2020 18:40,466.90
2/28/2020 18:45,477.99
2/28/2020 18:50,478.65
2/28/2020 18:55,547.73
2/28/2020 8:35,494.21
2/28/2020 8:40,305.52
2/28/2020 8:45,422.24
2/28/2020 8:50,465.35
2/28/2020 8:55,519.95
2/28/2020 9:05,387.09
2/28/2020 9:10,490.70
2/28/2020 9:15,510.40
2/28/2020 9:20,421.22
2/28/2020 9:25,477.48
2/28/2020 9:35,406.86
2/28/2020 9:40,597.90
